SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
531525,ACE SOFTWARE,S ,Q,13.36,13.90,13.35,13.90,13.90,13.87,9,5050,68718.00,
530043,ACKNIT IND  ,B ,Q,30.85,31.75,30.85,30.90,30.85,32.45,9,466,14387.00,
532799,ACKRUTI     ,A ,Q,570.00,581.90,563.05,566.80,566.80,562.15,2076,58369,33401360.00,
513149,ACROW INDIA ,B ,Q,145.00,147.50,144.00,144.00,144.00,147.70,9,317,45754.00,
524091,ACRYCIL LTD.,B ,Q,82.70,83.05,82.60,83.05,83.05,83.50,10,846,69909.00,
532762,ACTION CONST,B ,Q,37.70,38.70,36.55,37.05,37.05,37.70,187,16044,602213.00,
511706,ACTION FIN. ,B ,Q,18.05,19.75,18.00,19.60,19.50,18.30,6,904,16287.00,
512599,ADANI ENTER ,A ,Q,665.00,675.00,625.20,641.75,641.75,660.65,1032,45566,29980601.00,
533096,ADANI POWER ,B ,Q,104.00,104.90,101.50,102.45,102.45,103.20,13289,2941302,304239991.00,
526711,ADARSH PLANT,B ,Q,8.49,8.49,8.49,8.49,8.49,8.09,5,1427,12115.00,
530901,ADESHWAR COT,T ,Q,17.09,17.09,17.08,17.09,17.09,16.28,14,5565,95104.00,
519183,ADF FOODS LT,S ,Q,78.25,78.90,73.00,73.30,73.30,76.65,164,18193,1355852.00,
532727,ADHUNIK MET ,B ,Q,100.85,103.10,97.60,99.20,98.00,99.45,1072,103447,10427005.00,
500303,ADI BIR NUVO,A ,Q,1018.00,1046.00,978.00,991.00,991.00,1008.35,2629,69069,70074609.00,
590088,ADINATH BIO ,B ,Q,5.23,5.23,4.90,4.98,5.06,5.10,142,72655,368378.00,
522150,ADITYA FORGE,Z ,Q,5.45,6.00,5.45,5.95,6.00,5.73,8,4700,27815.00,
513513,ADITYA ISPAT,B ,Q,8.00,8.00,7.15,7.89,7.89,7.88,15,4970,37915.00,
532399,ADLABS FILMS,B ,Q,356.00,359.00,347.00,349.20,349.20,351.20,4136,244596,86402900.00,
511359,AD-MANUM FIN,B ,Q,17.15,17.55,16.95,17.55,17.55,17.10,12,876,15068.00,
530431,ADOR FONTECH,S ,Q,128.95,148.00,128.95,142.15,142.15,130.25,413,36357,5107667.00,
523120,ADOR MULTI. ,B ,Q,16.00,16.10,16.00,16.05,16.00,16.15,5,513,8233.00,
517041,ADORWELDING ,B ,Q,154.00,158.00,147.45,149.05,149.05,153.50,157,7469,1139846.00,
512149,ADVANCE TECH,T ,Q,3.28,3.28,2.98,3.16,3.16,3.13,728,2015641,6509533.00,
517552,ADVANCED MIC,S ,Q,46.00,48.00,45.55,46.45,46.45,45.25,54,3625,169370.00,
523269,ADVANI HOTEL,B ,Q,65.00,65.00,65.00,65.00,65.00,61.95,16,4640,301600.00,
532840,ADVANTA     ,B ,Q,555.00,570.00,546.00,551.70,551.70,546.35,300,7951,4424719.00,
531429,ADVENT COMP.,B ,Q,3.59,3.85,3.59,3.80,3.60,3.72,13,3970,14478.00,
531686,ADVIK LABORS,B ,Q,4.04,4.24,3.94,4.00,4.00,4.33,24,6874,27576.00,
500003,AEGIS LOGIS ,B ,Q,141.00,144.00,135.10,135.85,135.85,139.10,790,31245,4359506.00,
503655,AEONIAN PUB ,B ,Q,150.05,150.50,150.00,150.40,150.40,150.55,15,444,66704.00,
530707,AFTEK LTD   ,B ,Q,20.05,20.30,19.05,19.25,19.25,19.90,900,294236,5781040.00,
531921,AGAR IND COR,T ,Q,215.00,215.00,201.15,207.30,201.15,211.70,330,38491,7895104.00,
516020,AGIO PAPER  ,S ,Q,8.00,8.45,7.91,7.95,8.43,8.18,9,2364,18834.00,
519281,AGRO DUTCH I,B ,Q,13.15,13.39,12.71,12.88,12.88,13.05,101,16750,216762.00,
500215,AGRO TECH FO,B ,Q,210.25,213.40,201.25,205.05,205.05,208.90,337,12081,2506624.00,
524448,AHLCON PAREN,T ,Q,38.85,38.85,36.55,36.75,36.75,38.25,59,9179,345821.00,
532811,AHLUWALIA CO,B ,Q,163.65,167.00,154.50,155.60,155.60,160.60,1880,373886,60074933.00,
513335,AHMED.FORG  ,B ,Q,73.90,76.65,71.60,72.45,72.10,73.05,453,82641,6116197.00,
522273,AHMED.STEEL ,S ,Q,17.90,17.93,17.80,17.93,17.93,17.08,5,751,13425.00,
532683,AIAENGINEER ,B ,Q,263.75,267.50,256.30,263.30,267.00,261.55,504,18378,4820189.00,XD
524288,AIMCO PESTI.,B ,Q,7.75,7.75,6.72,7.23,7.10,6.98,54,14564,104766.00,
532975,AISHWARYA TE,B ,Q,25.00,26.00,25.00,25.85,25.20,25.70,136,27170,699008.00,
532331,AJANTA PHARM,B ,Q,92.00,92.50,89.00,89.80,89.00,89.30,138,13495,1228057.00,
519216,AJANTA SOYA ,B ,Q,7.60,8.06,7.12,8.06,8.06,7.33,50,12852,101078.00,
511692,AJCON GLOBAL,B ,Q,11.40,12.57,11.12,12.02,12.57,11.43,24,1261,14953.00,
530713,AJEL        ,B ,Q,41.80,41.90,38.10,38.85,38.10,41.00,29,4781,188058.00,
513349,AJMERA      ,B ,Q,184.80,184.80,176.00,177.35,177.35,179.40,804,33522,6059626.00,
530135,AKANKSHA FIN,B ,Q,8.52,8.52,7.91,8.51,8.52,8.12,49,22439,187538.00,
530621,AKAR TOOLS L,B ,Q,32.00,32.00,29.10,29.20,29.10,30.20,30,1863,55567.00,
532351,AKSH OPTIFIB,B ,Q,18.90,18.95,17.90,18.05,18.05,18.75,140,18735,342745.00,
524598,AKSHARCHEM I,S ,Q,8.00,8.00,8.00,8.00,8.00,8.40,4,500,4000.00,
524075,ALBERT DAVID,S ,Q,83.15,85.40,83.15,84.20,84.20,83.50,95,8185,690773.00,
506230,ALBR & WILSO,S ,Q,105.95,105.95,101.00,104.95,104.95,105.95,7,332,33681.00,
531409,ALCH CORP   ,B ,Q,11.75,11.80,11.75,11.80,11.80,11.24,7,530,6232.00,
526707,ALCHEMIST LT,B ,Q,105.40,105.40,104.00,104.70,104.85,104.60,552,90803,9514701.00,
506235,ALEMBIC LTD.,B ,Q,49.75,50.00,48.25,48.95,48.65,48.75,712,158530,7775012.00,
505885,ALFA LAVAL  ,B ,Q,1021.00,1023.70,995.00,1013.35,995.00,990.80,75,1049,1060417.00,
517546,ALFA TRANSFO,B ,Q,37.40,39.35,37.40,37.75,37.50,38.40,43,5807,221053.00,
